379420.64411292074,6765166.49297183,
379449.63284565427,6767030.830935626,
373168.21529893304,6767250.441420654,
373102.6646618259,6765421.872276554,
370442.5601963894,6765483.665685688,
370342.404125386,6763690.910728946,
366748.1902508166,6763789.728664521,
366745.9720069312,6761889.624996988,
364913.9917580802,6761958.965556502,
364809.722572083,6760131.83241861,
363044.6778761726,6760164.980054633,
362972.75488971686,6758302.045772581,
362073.1564920795,6758336.888265785,
362002.11373656476,6756508.481225358,
366501.29572450195,6756301.972864958,
366570.0200044457,6758130.441055956,
370171.1825476677,6758066.0256477855,
370236.80101155094,6759860.032170572,
372036.48188251746,6759829.216548192,
372102.4460185116,6761657.763079781,
374801.1355754604,6761630.544166865,
374865.7191777418,6763459.128966232,
376663.50516226183,6763430.641353308,
376760.5132248968,6765223.5351542225,
379420.64411292074,6765166.49297183,

