,Piksi Time,Lat Piksi,Lon Piksi,Lat Mav,Lon Mav,Mag,Lamor,Laser
247,330576396.0,49.2562484741211,-122.92263031005899,49.2558929,-122.9222588,42979.674000000006,320,0.1453513513513511
248,330576476.8,49.2562484741211,-122.92263031005899,49.25589316373627,-122.92225894835164,42993.692,220,0.18318918918918903
249,330576589.87341774,49.2562484741211,-122.92263031005899,49.2558945,-122.9222597,42981.58,339,0.18299145299145297
250,330576702.02020204,49.2562484741211,-122.92262326754054,49.255894866666665,-122.922259925,42988.130999999994,173,0.15958115183246133
251,330576802.85714287,49.2562484741211,-122.922622680664,49.2558989,-122.9222624,42982.279,300,0.12816753926701568
252,330576898.0952381,49.2562484741211,-122.922622680664,49.2558989,-122.9222624,42988.422999999995,161,0.12336405529953916
253,330576994.2307692,49.2562484741211,-122.922622680664,49.255901252,-122.92226347799999,42981.810999999994,261,0.12797235023041476
254,330577093.0693069,49.2562484741211,-122.922622680664,49.2559023976,-122.92226404879999,42994.412000000004,398,0.13
255,330577193.93939394,49.2562484741211,-122.922622680664,49.2559027,-122.9222642,42971.293,349,0.13
256,330577293.0693069,49.2562484741211,-122.922622680664,49.25590284193549,-122.92226431612904,42973.937999999995,366,0.12376068376068378
257,330577393.0,49.2562484741211,-122.922622680664,49.2559049,-122.922266,42997.367999999995,339,0.1227860696517412
258,330577495.87628865,49.2562484741211,-122.922622680664,49.25590496880734,-122.92226602293577,42991.495,369,0.1277611940298508
259,330577594.11764705,49.2562484741211,-122.922622680664,49.25590634495413,-122.92226648165138,42985.622,305,0.14718750000000103
260,330577694.0,49.2562484741211,-122.922622680664,49.2559064,-122.9222665,42972.519,259,0.1784375000000003
261,330577793.0693069,49.2562484741211,-122.922622680664,49.2559067,-122.9222658,42993.984000000004,332,0.17156097560975556
262,330577892.0792079,49.2562484741211,-122.922622680664,49.2559067,-122.9222658,42983.405999999995,166,0.14229268292682962
263,330577993.877551,49.2562484741211,-122.922622680664,49.255908272897194,-122.92226626261683,42985.972,295,0.13
264,330578094.0,49.2562484741211,-122.922622680664,49.2559084,-122.9222663,42974.22900000001,146,0.13
265,330578194.94949496,49.2562484741211,-122.922622680664,49.2559101037037,-122.92226715185184,42989.765999999996,359,0.13
266,330578301.86915886,49.2562484741211,-122.922622680664,49.25591248073394,-122.92226822477065,42968.121,281,0.13
267,330578396.2616823,49.2562484741211,-122.922622680664,49.2559131,-122.9222685,42986.81,305,0.12735751295336792
268,330578476.8,49.2562484741211,-122.922622680664,49.2559131,-122.9222685,42974.070999999996,105,0.12217616580310872
269,330578590.90909094,49.2562484741211,-122.922622680664,49.255917424752475,-122.9222712029703,42986.556,308,0.20754999999999987
270,330578693.0,49.2562484741211,-122.922622680664,49.2559179,-122.9222715,42991.827000000005,176,0.20255000000000006
271,330578793.0693069,49.2562484741211,-122.922622680664,49.25592159891304,-122.92227384565217,42991.572,293,0.18636363636363706
272,330578892.0,49.2562484741211,-122.922622680664,49.2559237394958,-122.92227523445378,42986.245,417,0.15936363636363687
273,330578992.0,49.25624526373228,-122.922622680664,49.2559243,-122.9222756,42988.52099999999,359,0.13860576923076923
274,330579093.877551,49.2562446594238,-122.922622680664,49.255925248000004,-122.922275758,42984.244000000006,171,0.13379807692307683
275,330579202.0,49.2562446594238,-122.922622680664,49.2559255,-122.9222758,42997.62,334,0.13
276,330579301.86915886,49.2562446594238,-122.922622680664,49.2559255,-122.9222758,42991.922999999995,366,0.13
277,330579395.3271028,49.2562446594238,-122.922622680664,49.25592714102564,-122.92227670256409,42995.54,325,0.13
278,330579500.9259259,49.2562446594238,-122.922622680664,49.2559280688,-122.92227696319999,42985.662000000004,156,0.13
279,330579593.5185185,49.2562446594238,-122.922622680664,49.2559284,-122.922277,42986.96400000001,310,0.1344318181818188
280,330579701.8348624,49.2562446594238,-122.922622680664,49.2559284,-122.922277,42983.309,144,0.1685227272727275
281,330579793.57798165,49.2562446594238,-122.922622680664,49.2559307808,-122.92227807520001,42989.725999999995,308,0.1733499999999991
282,330579901.8181818,49.256248186993346,-122.922622680664,49.255933417,-122.922279252,42998.748,264,0.12835000000000069
283,330579992.72727275,49.2562484741211,-122.922622680664,49.2559342,-122.9222796,42980.237,291,0.11479999999999986
284,330580093.877551,49.2562484741211,-122.922622680664,49.2559342972973,-122.92227966126127,43001.392,193,0.15480000000000108
285,330580194.0,49.2562484741211,-122.922622680664,49.25593672972973,-122.9222811927928,42998.029,266,0.17
286,330580300.0,49.2562484741211,-122.922622680664,49.25593807985074,-122.92228199402986,42978.547,244,0.1664766839378236
287,330580395.2380952,49.2562484741211,-122.922622680664,49.2559386,-122.9222823,42987.567,322,0.15611398963730577
288,330580476.0,49.2562484741211,-122.922622680664,49.25594008888889,-122.92228335462964,42994.975999999995,330,0.14823834196891195
289,330580590.90909094,49.2562484741211,-122.922622680664,49.255941,-122.922284,43006.74,505,0.14305699481865275
290,330580692.0792079,49.2562484741211,-122.922622680664,49.25593988333333,-122.9222833175926,42998.475999999995,291,0.1382812500000001
291,330580792.0,49.2562484741211,-122.922622680664,49.2559392,-122.9222829,42989.59,374,0.1330729166666666
292,330580892.0,49.2562452316284,-122.922622680664,49.25593890989011,-122.92228304505494,42992.759000000005,186,0.1329059829059828
293,330580992.9292929,49.2562446594238,-122.922622680664,49.2559388,-122.9222831,43001.334,317,0.14
294,330581093.0,49.2562446594238,-122.922622680664,49.2559413,-122.92228483611112,42993.477999999996,151,0.14
295,330581193.93939394,49.2562446594238,-122.922622680664,49.2559424,-122.9222856,42997.776,334,0.1390760869565218
296,330581293.0693069,49.2562446594238,-122.92261610880975,49.25594403026316,-122.92228629868421,43001.684,247,0.1336413043478261
297,330581401.8867925,49.2562446594238,-122.92261505126999,49.2559445,-122.9222865,42984.689000000006,261,0.13
298,330581496.2264151,49.2562446594238,-122.92261505126999,49.25594705864662,-122.92228799774436,42998.865,168,0.13
299,330581594.11764705,49.2562446594238,-122.92261505126999,49.2559486,-122.9222889,42982.2,305,0.13
300,330581693.0693069,49.2562446594238,-122.92261505126999,49.25594956330275,-122.92228931284404,43007.362,447,0.1295628415300547
301,330581792.0792079,49.2562446594238,-122.92261505126999,49.2559507,-122.9222898,42999.195,327,0.12409836065573766
302,330581892.9292929,49.2562446594238,-122.92261505126999,49.255952656521735,-122.92229066956523,43001.295999999995,352,0.12
303,330581993.93939394,49.2562446594238,-122.92261505126999,49.2559543,-122.9222914,42990.639,271,0.12
304,330582094.0,49.2562446594238,-122.92261505126999,49.25595522391304,-122.92229156304347,42987.413,164,0.12
305,330582194.0,49.2562446594238,-122.92261505126999,49.255956,-122.9222917,42995.889,344,0.12
306,330582294.0,49.2562446594238,-122.92261505126999,49.25595651206896,-122.92229187068965,43002.598,249,0.12
307,330582394.0,49.2562446594238,-122.92261505126999,49.2559569,-122.922292,42990.503,288,0.12
308,330582494.0,49.2562446594238,-122.92261505126999,49.2559569,-122.92229193399999,42993.343,317,0.12
309,330582594.0,49.2562446594238,-122.92261505126999,49.2559569,-122.9222918,42993.575999999994,295,0.12
310,330582694.0,49.2562446594238,-122.92261505126999,49.25595839285714,-122.9222928607143,42995.87,146,0.12
311,330582794.0,49.2562446594238,-122.92261505126999,49.2559607,-122.9222945,43005.592000000004,386,0.12
312,330582895.0,49.2562446594238,-122.92261505126999,49.25596188695652,-122.9222948652174,43001.626,269,0.12
313,330582995.0,49.2562446594238,-122.92261505126999,49.2559633,-122.9222953,42996.94,237,0.12
314,330583094.0,49.2562446594238,-122.92261505126999,49.255963873913046,-122.92229537826087,42990.600999999995,261,0.12
315,330583194.0,49.2562446594238,-122.92261505126999,49.2559655,-122.9222956,42999.448,347,0.12
316,330583294.0,49.2562446594238,-122.92261505126999,49.255966107999996,-122.92229576,42999.818,203,0.12
317,330583394.0,49.2562446594238,-122.92261505126999,49.2559674,-122.9222961,42999.234000000004,264,0.12
318,330583494.0,49.2562446594238,-122.92261505126999,49.25596767391304,-122.92229626956522,42994.393,146,0.12
