,Piksi Time,Lat Piksi,Lon Piksi,Lat Mav,Lon Mav,Mag,Lamor,Laser
46,265542753.7037037,-10.261454046340214,-55.033203125,-10.2614695,-55.0331987,24015.349,613,0.09
47,265542849.5049505,-10.261454582214402,-55.033203125,-10.2614695,-55.033198631325305,24015.306,701,0.09
48,265542946.2264151,-10.261454582214402,-55.033203125,-10.2614695,-55.0331986,24015.338,564,0.09
49,265543045.74468085,-10.261454582214402,-55.033203125,-10.2614695,-55.0331986,24015.317000000003,684,0.09
50,265543151.57894737,-10.261454582214402,-55.033203125,-10.2614695,-55.0331986,24015.306,483,0.09
51,265543252.42718446,-10.261454582214402,-55.033203125,-10.2614695,-55.0331986,24015.338,620,0.09
52,265543353.68421054,-10.261454582214402,-55.033203125,-10.2614695,-55.033198543478264,24015.303,527,0.09
53,265543457.14285713,-10.261454582214402,-55.033203125,-10.2614695,-55.0331985,24015.306,708,0.09
54,265543553.7037037,-10.261454582214402,-55.033203125,-10.2614695,-55.0331985,24015.317000000003,574,0.09
55,265543650.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331985,24015.317000000003,659,0.09
56,265543753.76344085,-10.261454582214402,-55.033203125,-10.2614695,-55.0331985,24015.306,537,0.09
57,265543853.27102804,-10.261454582214402,-55.033203125,-10.2614695,-55.033198445783135,24015.306,706,0.09
58,265543927.02702704,-10.261454582214402,-55.033203125,-10.2614695,-55.0331984,24015.317000000003,618,0.09
59,265543981.6216216,-10.261454582214402,-55.033203125,-10.2614695,-55.0331984,24015.295,637,0.09
60,265544147.6744186,-10.26145422735881,-55.033203125,-10.2614695,-55.0331984,24015.327999999998,488,0.09
61,265544251.92307693,-10.26145362854,-55.033203125,-10.2614695,-55.0331984,24015.295,659,0.09
62,265544353.46534654,-10.26145362854,-55.033203125,-10.2614695,-55.03319835494505,24015.317000000003,601,0.09
63,265544452.68817204,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.317000000003,732,0.09
64,265544552.8301887,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.338,735,0.09
65,265544650.0,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.284,708,0.09
66,265544750.0,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.357000000004,479,0.09
67,265544848.4848485,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.306,713,0.09
68,265544949.0,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.317000000003,605,0.09
69,265545049.4949495,-10.26145362854,-55.033203125,-10.2614695,-55.0331983,24015.317000000003,645,0.09
70,265545149.01960784,-10.26145362854,-55.033203125,-10.2614695,-55.033198266666666,24015.317000000003,757,0.09
71,265545248.97959185,-10.26145362854,-55.033203125,-10.2614695,-55.0331982,24015.349,698,0.09
72,265545349.5049505,-10.26145362854,-55.033203125,-10.2614695,-55.0331982,24015.295,625,0.08559999999999997
73,265545453.84615386,-10.26145362854,-55.033203125,-10.2614695,-55.0331982,24015.295,635,0.08060000000000002
74,265545552.72727272,-10.26145362854,-55.033203125,-10.2614695,-55.0331982,24015.317000000003,703,0.08423076923076919
75,265545653.33333334,-10.26145362854,-55.033203125,-10.2614695,-55.03319817692307,24015.284,669,0.08903846153846147
76,265545758.41584158,-10.26145362854,-55.033203125,-10.2614695,-55.0331981,24015.338,544,0.09
77,265545852.29357797,-10.26145362854,-55.033203125,-10.2614695,-55.0331981,24015.306,608,0.09
78,265545925.13089004,-10.26145362854,-55.033203125,-10.2614695,-55.0331981,24015.272999999997,540,0.09
79,265545977.486911,-10.26145362854,-55.033203125,-10.2614695,-55.0331981,24015.317000000003,681,0.09
80,265546138.0952381,-10.26145362854,-55.033203125,-10.2614695,-55.0331981,24015.303,581,0.09
81,265546248.4848485,-10.26145362854,-55.033203125,-10.2614695,-55.03319807738095,24015.284,740,0.09
82,265546348.51485148,-10.26145362854,-55.033203125,-10.2614695,-55.033198,24015.306,527,0.09
83,265546451.61290324,-10.26145362854,-55.033203125,-10.2614695,-55.033198,24015.306,627,0.09
84,265546559.5959596,-10.26145362854,-55.033203125,-10.2614695,-55.033198,24015.284,527,0.09424083769633508
85,265546652.29357797,-10.26145362854,-55.033203125,-10.261469515294118,-55.033198,24015.262000000002,715,0.0993193717277486
86,265546747.47474748,-10.26145362854,-55.033203125,-10.2614696,-55.033198,24015.317000000003,649,0.1
